Bus No,Date,Time,Week Day,Bus Type,Driver Rating Based On Time,Driver Rating Based On Decepline,Bus Rating,Driver Age,Weather,Longtide,Latitude
NA-7111,2020-01-09,16:20:13,Thursday,Normal,4,4.5,4.5,32,32,8.35461,80.4428
NA-7111,2020-01-09,16:20:14,Thursday,Normal,4,4.5,4.5,32,32,8.35461,80.44287
NA-7111,2020-01-09,16:20:15,Thursday,Normal,4,4.5,4.5,32,32,8.35462,80.44295
NA-7111,2020-01-09,16:20:16,Thursday,Normal,4,4.5,4.5,32,32,8.35462,80.44303
NA-7111,2020-01-09,16:20:17,Thursday,Normal,4,4.5,4.5,32,32,8.35463,80.44311
NA-7111,2020-01-09,16:20:18,Thursday,Normal,4,4.5,4.5,32,32,8.35464,80.4432
NA-7111,2020-01-09,16:20:19,Thursday,Normal,4,4.5,4.5,32,32,8.35465,80.44329
NA-7111,2020-01-09,16:20:20,Thursday,Normal,4,4.5,4.5,32,32,8.35465,80.44338
NA-7111,2020-01-09,16:20:21,Thursday,Normal,4,4.5,4.5,32,32,8.35466,80.44346
NA-7111,2020-01-09,16:20:22,Thursday,Normal,4,4.5,4.5,32,32,8.35466,80.44353
NA-7111,2020-01-09,16:20:23,Thursday,Normal,4,4.5,4.5,32,32,8.35466,80.44359
NA-7111,2020-01-09,16:20:24,Thursday,Normal,4,4.5,4.5,32,32,8.35466,80.44364
NA-7111,2020-01-09,16:20:25,Thursday,Normal,4,4.5,4.5,32,32,8.35466,80.44367
NA-7111,2020-01-09,16:20:26,Thursday,Normal,4,4.5,4.5,32,32,8.35467,80.44369
NA-7111,2020-01-09,16:20:27,Thursday,Normal,4,4.5,4.5,32,32,8.35467,80.44368
NA-7111,2020-01-09,16:20:28,Thursday,Normal,4,4.5,4.5,32,32,8.35465,80.44364
NA-7111,2020-01-09,16:20:29,Thursday,Normal,4,4.5,4.5,32,32,8.35465,80.44362
NA-7111,2020-01-09,16:20:31,Thursday,Normal,4,4.5,4.5,32,32,8.35465,80.44361
NA-7111,2020-01-09,16:20:35,Thursday,Normal,4,4.5,4.5,32,32,8.35465,80.44363
NA-7111,2020-01-09,16:20:36,Thursday,Normal,4,4.5,4.5,32,32,8.35465,80.44365
NA-7111,2020-01-09,16:20:37,Thursday,Normal,4,4.5,4.5,32,32,8.35464,80.44369
NA-7111,2020-01-09,16:20:38,Thursday,Normal,4,4.5,4.5,32,32,8.35464,80.44372
NA-7111,2020-01-09,16:20:39,Thursday,Normal,4,4.5,4.5,32,32,8.35464,80.44376
NA-7111,2020-01-09,16:20:40,Thursday,Normal,4,4.5,4.5,32,32,8.35464,80.44382
NA-7111,2020-01-09,16:20:41,Thursday,Normal,4,4.5,4.5,32,32,8.35464,80.44388
NA-7111,2020-01-09,16:20:42,Thursday,Normal,4,4.5,4.5,32,32,8.35465,80.44396
NA-7111,2020-01-09,16:20:43,Thursday,Normal,4,4.5,4.5,32,32,8.35464,80.44401
NA-7111,2020-01-09,16:20:44,Thursday,Normal,4,4.5,4.5,32,32,8.35464,80.44409
NA-7111,2020-01-09,16:20:45,Thursday,Normal,4,4.5,4.5,32,32,8.35464,80.44415
NA-7111,2020-01-09,16:20:46,Thursday,Normal,4,4.5,4.5,32,32,8.35464,80.44422
NA-7111,2020-01-09,16:20:47,Thursday,Normal,4,4.5,4.5,32,32,8.35464,80.4443
NA-7111,2020-01-09,16:20:48,Thursday,Normal,4,4.5,4.5,32,32,8.35465,80.44439
NA-7111,2020-01-09,16:20:49,Thursday,Normal,4,4.5,4.5,32,32,8.35467,80.44449
NA-7111,2020-01-09,16:20:50,Thursday,Normal,4,4.5,4.5,32,32,8.35468,80.44458
NA-7111,2020-01-09,16:20:51,Thursday,Normal,4,4.5,4.5,32,32,8.35469,80.44468
NA-7111,2020-01-09,16:20:52,Thursday,Normal,4,4.5,4.5,32,32,8.35471,80.44479
NA-7111,2020-01-09,16:20:53,Thursday,Normal,4,4.5,4.5,32,32,8.35471,80.44489
NA-7111,2020-01-09,16:20:54,Thursday,Normal,4,4.5,4.5,32,32,8.35471,80.445
NA-7111,2020-01-09,16:20:55,Thursday,Normal,4,4.5,4.5,32,32,8.35472,80.44512
NA-7111,2020-01-09,16:20:56,Thursday,Normal,4,4.5,4.5,32,32,8.35472,80.44523
NA-7111,2020-01-09,16:20:57,Thursday,Normal,4,4.5,4.5,32,32,8.35473,80.44535
NA-7111,2020-01-09,16:20:58,Thursday,Normal,4,4.5,4.5,32,32,8.35475,80.44547
NA-7111,2020-01-09,16:20:59,Thursday,Normal,4,4.5,4.5,32,32,8.35476,80.44559
NA-7111,2020-01-09,16:21:00,Thursday,Normal,4,4.5,4.5,32,32,8.35478,80.44572
NA-7111,2020-01-09,16:21:01,Thursday,Normal,4,4.5,4.5,32,32,8.35479,80.44585
NA-7111,2020-01-09,16:21:02,Thursday,Normal,4,4.5,4.5,32,32,8.3548,80.44597
NA-7111,2020-01-09,16:21:03,Thursday,Normal,4,4.5,4.5,32,32,8.35481,80.4461
NA-7111,2020-01-09,16:21:04,Thursday,Normal,4,4.5,4.5,32,32,8.35482,80.44622
