Bus No,Date,Time,Driver rating based on time,Driver rating based on decipline,Bus rating,Driver Age,Weather,Bus type,Longtide,Latitude,Start/End
NC - 5210,2020/02/19,10:06:33,4,4.5,4.5,32,33,Normal,8.5487377,80.8318481,
NC - 5210,2020/02/19,10:06:45,4,4.5,4.5,32,33,Normal,8.5487376,80.8318483,
NC - 5210,2020/02/19,10:06:53,4,4.5,4.5,32,33,Normal,8.5487375,80.8318483,
NC - 5210,2020/02/19,10:07:05,4,4.5,4.5,32,33,Normal,8.5487375,80.8318483,
NC - 5210,2020/02/19,10:07:12,4,4.5,4.5,32,33,Normal,8.5487376,80.8318484,
NC - 5210,2020/02/19,10:07:23,4,4.5,4.5,32,33,Normal,8.5487376,80.8318484,
NC - 5210,2020/02/19,10:07:34,4,4.5,4.5,32,33,Normal,8.5487372,80.831848,
NC - 5210,2020/02/19,10:07:43,4,4.5,4.5,32,33,Normal,8.5487372,80.8318481,
NC - 5210,2020/02/19,10:07:54,4,4.5,4.5,32,33,Normal,8.548737,80.8318479,
NC - 5210,2020/02/19,10:08:03,4,4.5,4.5,32,33,Normal,8.5487371,80.8318479,
NC - 5210,2020/02/19,10:08:13,4,4.5,4.5,32,33,Normal,8.548737,80.8318479,
NC - 5210,2020/02/19,10:08:23,4,4.5,4.5,32,33,Normal,8.5487366,80.8318484,
NC - 5210,2020/02/19,10:08:33,4,4.5,4.5,32,33,Normal,8.548736,80.8318491,
NC - 5210,2020/02/19,10:08:43,4,4.5,4.5,32,33,Normal,8.5487356,80.83185,
NC - 5210,2020/02/19,10:08:53,4,4.5,4.5,32,33,Normal,8.5487357,80.8318506,
NC - 5210,2020/02/19,10:09:03,4,4.5,4.5,32,33,Normal,8.5487359,80.8318501,
NC - 5210,2020/02/19,10:09:12,4,4.5,4.5,32,33,Normal,8.5487361,80.8318497,
NC - 5210,2020/02/19,10:09:22,4,4.5,4.5,32,33,Normal,8.5487361,80.8318499,
NC - 5210,2020/02/19,10:09:32,4,4.5,4.5,32,33,Normal,8.5487362,80.83185,
NC - 5210,2020/02/19,10:09:43,4,4.5,4.5,32,33,Normal,8.5487369,80.8318498,
NC - 5210,2020/02/19,10:09:53,4,4.5,4.5,32,33,Normal,8.5487371,80.8318498,
NC - 5210,2020/02/19,10:10:03,4,4.5,4.5,32,33,Normal,8.5487369,80.8318498,
NC - 5210,2020/02/19,10:10:14,4,4.5,4.5,32,33,Normal,8.5487367,80.8318498,
NC - 5210,2020/02/19,10:10:24,4,4.5,4.5,32,33,Normal,8.5487364,80.8318499,
NC - 5210,2020/02/19,10:10:34,4,4.5,4.5,32,33,Normal,8.5487363,80.8318499,
NC - 5210,2020/02/19,10:10:43,4,4.5,4.5,32,33,Normal,8.5487367,80.83185,
NC - 5210,2020/02/19,10:10:53,4,4.5,4.5,32,33,Normal,8.5487371,80.83185,
NC - 5210,2020/02/19,10:11:03,4,4.5,4.5,32,33,Normal,8.5487374,80.8318494,
NC - 5210,2020/02/19,10:11:13,4,4.5,4.5,32,33,Normal,8.5487373,80.8318486,
NC - 5210,2020/02/19,10:11:23,4,4.5,4.5,32,33,Normal,8.5487368,80.8318479,
NC - 5210,2020/02/19,10:11:33,4,4.5,4.5,32,33,Normal,8.5487366,80.8318478,
NC - 5210,2020/02/19,10:11:43,4,4.5,4.5,32,33,Normal,8.5487371,80.8318475,
NC - 5210,2020/02/19,10:11:53,4,4.5,4.5,32,33,Normal,8.5487374,80.8318474,
NC - 5210,2020/02/19,10:12:04,4,4.5,4.5,32,33,Normal,8.5487383,80.8318487,
NC - 5210,2020/02/19,10:12:13,4,4.5,4.5,32,33,Normal,8.5487387,80.8318491,
NC - 5210,2020/02/19,10:12:23,4,4.5,4.5,32,33,Normal,8.548739,80.8318495,
NC - 5210,2020/02/19,10:12:33,4,4.5,4.5,32,33,Normal,8.5487389,80.8318493,
NC - 5210,2020/02/19,10:12:43,4,4.5,4.5,32,33,Normal,8.5487384,80.8318486,
NC - 5210,2020/02/19,10:12:53,4,4.5,4.5,32,33,Normal,8.5487385,80.8318478,
NC - 5210,2020/02/19,10:13:04,4,4.5,4.5,32,33,Normal,8.5487385,80.8318476,
NC - 5210,2020/02/19,10:13:14,4,4.5,4.5,32,33,Normal,8.5487385,80.8318475,
NC - 5210,2020/02/19,10:13:25,4,4.5,4.5,32,33,Normal,8.5487384,80.8318476,
NC - 5210,2020/02/19,10:13:40,4,4.5,4.5,32,33,Normal,8.5487382,80.8318479,
NC - 5210,2020/02/19,10:13:56,4,4.5,4.5,32,33,Normal,8.5487383,80.8318477,
NC - 5210,2020/02/19,10:14:08,4,4.5,4.5,32,33,Normal,8.5487381,80.8318478,
NC - 5210,2020/02/19,10:14:14,4,4.5,4.5,32,33,Normal,8.5487382,80.8318477,
NC - 5210,2020/02/19,10:14:30,4,4.5,4.5,32,33,Normal,8.5487381,80.8318478,
NC - 5210,2020/02/19,10:14:46,4,4.5,4.5,32,33,Normal,8.5487384,80.8318474,
NC - 5210,2020/02/19,10:14:55,4,4.5,4.5,32,33,Normal,8.5487384,80.8318474,
NC - 5210,2020/02/19,10:15:06,4,4.5,4.5,32,33,Normal,8.5487387,80.8318472,
NC - 5210,2020/02/19,10:15:14,4,4.5,4.5,32,33,Normal,8.5487389,80.8318471,
NC - 5210,2020/02/19,10:15:25,4,4.5,4.5,32,33,Normal,8.5487384,80.8318475,
NC - 5210,2020/02/19,10:15:36,4,4.5,4.5,32,33,Normal,8.5487384,80.8318479,
NC - 5210,2020/02/19,10:15:44,4,4.5,4.5,32,33,Normal,8.5487384,80.831848,
NC - 5210,2020/02/19,10:16:01,4,4.5,4.5,32,33,Normal,8.5487388,80.8318482,
NC - 5210,2020/02/19,10:16:17,4,4.5,4.5,32,33,Normal,8.5487381,80.8318481,
NC - 5210,2020/02/19,10:16:25,4,4.5,4.5,32,33,Normal,8.5487381,80.8318481,
NC - 5210,2020/02/19,10:16:36,4,4.5,4.5,32,33,Normal,8.5487378,80.8318478,
NC - 5210,2020/02/19,10:16:46,4,4.5,4.5,32,33,Normal,8.5487371,80.8318472,
NC - 5210,2020/02/19,10:16:56,4,4.5,4.5,32,33,Normal,8.5487368,80.8318473,
NC - 5210,2020/02/19,10:17:06,4,4.5,4.5,32,33,Normal,8.5487367,80.8318475,
NC - 5210,2020/02/19,10:17:17,4,4.5,4.5,32,33,Normal,8.5487368,80.8318475,
NC - 5210,2020/02/19,10:17:25,4,4.5,4.5,32,33,Normal,8.5487368,80.8318475,
NC - 5210,2020/02/19,10:17:37,4,4.5,4.5,32,33,Normal,8.5487371,80.8318478,
NC - 5210,2020/02/19,10:17:46,4,4.5,4.5,32,33,Normal,8.5487373,80.831848,
NC - 5210,2020/02/19,10:17:56,4,4.5,4.5,32,33,Normal,8.5487375,80.8318481,
NC - 5210,2020/02/19,10:18:06,4,4.5,4.5,32,33,Normal,8.5487374,80.831848,
NC - 5210,2020/02/19,10:18:17,4,4.5,4.5,32,33,Normal,8.5487372,80.8318481,
NC - 5210,2020/02/19,10:18:25,4,4.5,4.5,32,33,Normal,8.5487372,80.8318482,
NC - 5210,2020/02/19,10:18:37,4,4.5,4.5,32,33,Normal,8.5487369,80.8318484,
NC - 5210,2020/02/19,10:18:48,4,4.5,4.5,32,33,Normal,8.5487369,80.8318484,
NC - 5210,2020/02/19,10:18:58,4,4.5,4.5,32,33,Normal,8.5487368,80.8318485,
NC - 5210,2020/02/19,10:19:04,4,4.5,4.5,32,33,Normal,8.5487368,80.8318485,
NC - 5210,2020/02/19,10:19:21,4,4.5,4.5,32,33,Normal,8.5487368,80.8318486,
